ORDER_ID,CUSTOMER_ID,ORDER_DATE,ORDER_STATUS,TOTAL_AMOUNT,CURRENCY,SHIPPING_METHOD,PAYMENT_METHOD,DISCOUNT_AMOUNT,TAX_AMOUNT,CREATED_AT
ORD-10001,1001,2025-01-05,COMPLETED,1250.00,USD,EXPRESS,CREDIT_CARD,50.00,100.00,2025-01-05 10:30:00
ORD-10002,1003,2025-01-06,COMPLETED,3450.75,USD,STANDARD,WIRE_TRANSFER,0.00,276.06,2025-01-06 14:15:00
ORD-10003,1002,2025-01-07,COMPLETED,89.99,USD,STANDARD,CREDIT_CARD,10.00,6.40,2025-01-07 09:00:00
ORD-10004,1005,2025-01-08,PROCESSING,560.50,USD,EXPRESS,PAYPAL,0.00,44.84,2025-01-08 16:45:00
ORD-10005,1004,2025-01-10,COMPLETED,2100.00,USD,OVERNIGHT,CREDIT_CARD,100.00,160.00,2025-01-10 11:20:00
ORD-10006,1001,2025-01-12,COMPLETED,750.25,USD,STANDARD,CREDIT_CARD,0.00,60.02,2025-01-12 08:00:00
ORD-10007,1007,2025-01-15,CANCELLED,0.00,USD,STANDARD,CREDIT_CARD,0.00,0.00,2025-01-15 13:30:00
ORD-10008,1009,2025-01-18,COMPLETED,5600.00,USD,EXPRESS,WIRE_TRANSFER,500.00,408.00,2025-01-18 10:00:00
ORD-10009,1003,2025-01-20,COMPLETED,1875.50,USD,STANDARD,CREDIT_CARD,75.00,144.04,2025-01-20 15:45:00
ORD-10010,1010,2025-01-22,PROCESSING,420.00,USD,STANDARD,PAYPAL,20.00,32.00,2025-01-22 09:30:00
ORD-10011,1012,2025-01-25,COMPLETED,8900.00,USD,OVERNIGHT,WIRE_TRANSFER,890.00,641.60,2025-01-25 11:00:00
ORD-10012,1008,2025-01-27,COMPLETED,135.75,USD,STANDARD,CREDIT_CARD,0.00,10.86,2025-01-27 14:00:00
ORD-10013,1011,2025-01-28,COMPLETED,299.99,USD,EXPRESS,PAYPAL,30.00,21.60,2025-01-28 16:15:00
ORD-10014,1006,2025-01-30,RETURNED,450.00,USD,STANDARD,CREDIT_CARD,0.00,36.00,2025-01-30 10:30:00
ORD-10015,1015,2025-02-01,COMPLETED,12500.00,USD,OVERNIGHT,WIRE_TRANSFER,1250.00,900.00,2025-02-01 09:00:00
ORD-10016,1001,2025-02-03,COMPLETED,340.50,USD,STANDARD,CREDIT_CARD,0.00,27.24,2025-02-03 11:45:00
ORD-10017,1004,2025-02-05,PROCESSING,1650.00,USD,EXPRESS,CREDIT_CARD,82.50,125.40,2025-02-05 13:00:00
ORD-10018,1013,2025-02-07,COMPLETED,78.50,USD,STANDARD,PAYPAL,0.00,6.28,2025-02-07 08:30:00
ORD-10019,1009,2025-02-10,COMPLETED,4200.00,USD,EXPRESS,WIRE_TRANSFER,210.00,319.20,2025-02-10 10:15:00
ORD-10020,1002,2025-02-12,COMPLETED,195.00,USD,STANDARD,CREDIT_CARD,19.50,14.04,2025-02-12 15:00:00
